#
# Andromeda
#
Her Epsilo-58,Kornephoros
Kornephoros,Her Gamma-20
#   Body/Legs
Her Rho-75,Her Xi-92
Her Xi-92,Her Omicr-103
Her Omicr-103,Her 95
Her 95,Her 102
Her 109,Her 102
Her 109,Her 110
Her 110,Her 111
Her Mu-86,Her Xi-92
Her Mu-86,Her Epsilo-58
Her Mu-86,Her Lambda-76
Her Delta-65,Her Lambda-76
Her Delta-65,Her Alpha1-64
#
# Horologium
#
#   Not a Rey constellation
Hor Alpha,Hor Iota
Hor Iota,Hor Eta
Hor Eta,Hor Zeta
Hor Zeta,Hor Mu
Hor Mu,Hor Beta
#
# Hydra
#
#   Head
Hya Zeta-16,Hya Eta-7
Hya Eta-7,Hya Sigma-5
Hya Sigma-5,Hya Delta-4
Hya Delta-4,Hya Epsilo-11
Hya Epsilo-11,Hya Zeta-16
#
Hya Theta-22,Hya Zeta-16
Hya Iota-35,Hya Theta-22
Hya Alpha-30,Hya Iota-35
Hya Upsil1-39,Hya Alpha-30
Hya Upsil2-40,Hya Upsil1-39
Hya Lambda-41,Hya Upsil2-40
Hya Mu-42,Hya Lambda-41
Hya Nu,Hya Mu-42
Crt Alpha-7,Hya Nu
Crt Beta-11,Crt Alpha-7
Hya Xi,Crt Beta-11
Hya Beta,Hya Xi
Hya Gamma-46,Hya Beta
Hya Pi-49,Hya Gamma-46
#
# Hydrus
#
Hyi Gamma,Hyi Beta
Hyi Gamma,Hyi Epsilon
Hyi Epsilon,Hyi Delta
Hyi Delta,Hyi Eta2
Hyi Eta2,Hyi Alpha
#
# Indus
#
Ind Alpha,Ind Beta
Ind Beta,Ind Epsilon
Ind Beta,Ind Delta
Ind Delta,Ind Epsilon
#
# Lacerta
#
# Diverge from Rey: missing star between 1 and 6
Lac 1,Lac 6
Lac 6,Lac 11
Lac 11,Lac 5
Lac 5,Lac 2
Lac 2,Lac 6
Lac 5,Lac 4
Lac 4,Lac Beta-3
Lac Beta-3,Lac Alpha-7
Lac Alpha-7,Lac 5
#
# Leo
#
#   Sickle
Leo Kappa-1,Leo Lambda-4
Leo Lambda-4,Leo Epsilo-17
Leo Epsilo-17,Leo Mu-24
Leo Mu-24,Leo Zeta-36
Leo Zeta-36,Leo Gamma2-41
Leo Gamma2-41,Leo Eta-30
Leo Eta-30,Regulus
#   Touch up sickle
Leo Kappa-1,Leo Mu-24
Leo Epsilo-17,Leo Eta-30
#   Body/Legs/Tail
Leo Eta-30,Leo Omicro-14
Leo Eta-30,Leo Theta-70
Leo Theta-70,Leo Rho-47
Leo Theta-70,Leo Iota-78
Leo Iota-78,Leo Sigma-77
Leo Theta-70,Zozca
Denebola,Zozca
Zozca,Leo 60
Leo 60,Leo Gamma2-41
#
# Leo Minor
#
LMi 46,LMi Beta-31
LMi Beta-31,LMi 21
LMi 21,LMi 10
LMi 21,LMi 30
LMi 30,LMi 46
#
# Lepus
#
#   Ears
Lep Kappa-4,Lep Iota-3
Lep Kappa-4,Lep Mu-5
Lep Lambda-6,Lep Nu-7
Lep Lambda-6,Lep Mu-5
#   Head/Body
Lep Mu-5,Arneb
Arneb,Lep Zeta-14
Lep Zeta-14,Lep Eta-16
Lep Eta-16,Lep 17
Lep 17,Lep Delta-15
Lep Delta-15,Lep Gamma-13
Lep Gamma-13,Lep Beta-9
Lep Beta-9,Arneb
Lep Beta-9,Lep Epsilon-2
Lep Epsilon-2,Lep Mu-5
#
# Libra
#
#   Not exactly Rey, but close enough
Lib 48,Lib Theta-46
Lib Theta-46,Lib Eta-44
Lib Eta-44,Lib Zeta4-35
Lib Zeta4-35,Zuben el Chamali
Zuben el Chamali,Lib Alpha2-9
Lib Alpha2-9,Lib Sigma-20
Lib Sigma-20,Lib Upsilo-39
Lib Upsilo-39,Lib Tau-40
Lib Sigma-20,Zuben el Chamali
#
# Lupus
#
#   Ears
Lup Tau2,Lup Alpha
Lup Alpha,Lup Iota
#  Face
Lup Alpha,Lup Rho
Lup Rho,Lup Sigma
#  Body
Lup Rho,Lup Pi
Lup Pi,Lup Lambda
Lup Lambda,Lup Delta
Lup Delta,Lup Upsilon
Lup Upsilon,Lup Phi2
Lup Phi2,Lup Phi1
Lup Phi1,Lup Beta
Lup Beta,Lup Omicron
Lup Omicron,Lup Alpha
#   Legs
Lup Pi,Lup Kappa1
Lup Kappa1,Lup Zeta
Lup Lambda,Lup Mu
Lup Mu,Lup Epsilon
Lup Upsilon,Lup Gamma
Lup Gamma,Lup Omega
# 1 missing at the end of the 3rd leg
Lup Phi1,Lup Eta
#   Tail
Lup Phi1,Lup Chi-5
Lup Chi-5,Lup Theta
#
# Lynx
#
Lyn Alpha-40,Lyn 38
Lyn 38,Lyn 35
Lyn 35,Lyn 31
Lyn 31,Lyn 21
Lyn 21,Lyn 15
Lyn 15,Lyn 2
#
# Lyra
#
Vega,Lyr Epsilo1-4
Lyr Epsilo1-4,Lyr 13
Lyr 13,Lyr Eta-20
Lyr Eta-20,Lyr Theta-21
Lyr Theta-21,Sulaphat
Sulaphat,Lyr Delta1-11
Sheliak,Sulaphat
Lyr Zeta1-6,Sheliak
Sheliak,Lyr Kappa-1
Vega,Lyr Kappa-1
# Don't close the diamond
#Lyr Delta1-11,Lyr Zeta1-6
#
# Mensa
#
#   Not a Rey constellation
Men Alpha,Men Gamma
Men Gamma,Men Eta
Men Eta,Men Beta
#
# Microscopium
#
#   Not a Rey constellation
Mic Theta1,Mic Epsilon
Mic Epsilon,Mic Gamma
Mic Gamma,Mic Beta
Mic Beta,Mic Alpha
#
# Monoceros
#
#   Head/Neck
Mon Epsilon-8,Mon 13
Mon 13,Mon 15
Mon 13,Mon 18
Mon 18,Mon Epsilon-8
Mon 18,Mon Delta-22
#   Body/Legs
Mon Delta-22,Mon Beta-11
Mon Beta-11,Mon Gamma-5
Mon Delta-22,Mon 28
Mon 28,Mon Zeta-29
Mon 28,Mon Alpha-26
#
# Musca
#
Mus Delta,Mus Gamma
Mus Delta,Mus Alpha
Mus Alpha,Mus Gamma
Mus Beta,Mus Alpha
Mus Alpha,Mus Epsilon
Mus Epsilon,Mus Lambda
#
# Norma
#
Nor Eta,Nor Delta
Nor Delta,Nor Epsilon
Nor Epsilon,Nor Gamma2
Nor Gamma2,Nor Eta
#
# Octans
#
#   Added Epsilon from Rey
Oct Delta,Oct Nu
Oct Nu,Oct Epsilon
Oct Epsilon,Oct Beta
Oct Beta,Oct Delta
#
# Ophiuchus
#
#   Head/Body
Kelb al Rai,Oph Kappa-27
Oph Kappa-27,Ras Alhague
Ras Alhague,Kelb al Rai
#Kelb al Rai,Oph Mu-57
Kelb al Rai,Oph Eta-35
#Oph Mu-57,Oph Eta-35
Oph Eta-35,Oph Zeta-13
Oph Zeta-13,Oph Kappa-27
#   Arms
Oph Kappa-27,Oph Iota-25
Oph Lambda-10,Oph Iota-25
Oph Delta-1,Oph Lambda-10
Oph Epsilon-2,Oph Delta-1
Oph Upsilon-3,Oph Epsilon-2
Oph Gamma-62,Kelb al Rai
Oph 67,Oph Gamma-62
Oph 70,Oph 67
Oph 70,Oph 68
Oph 68,Oph 67
Oph 72,Oph 70
#   Legs
Oph Zeta-13,Oph Phi-8
Oph Phi-8,Oph Chi-7
Oph Chi-7,Oph Psi-4
Oph Psi-4,Oph Omega-9
Oph Eta-35,Oph Xi-40
